City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Boguchany,RU,58.38,97.45,-30.41,80,61,2.24,broken clouds
83,Porto Novo,BJ,6.5,2.6,76.6,86,45,3.6,scattered clouds
84,Shreveport,US,32.53,-93.75,51.8,71,1,9.17,clear sky
85,Kalnibolotskaya,RU,46.01,40.46,37.81,97,100,8.7,heavy intensity rain
86,Lodwar,KE,3.12,35.6,90.34,18,100,21.32,overcast clouds
87,Klaksvik,FO,62.23,-6.59,39.2,86,100,21.92,moderate rain
88,Yulara,AU,-25.24,130.99,100.4,17,75,11.41,broken clouds
89,Kapaa,US,22.08,-159.32,73.4,83,90,14.99,light rain
90,Qaanaaq,GL,77.48,-69.36,-13.0,80,0,1.99,clear sky
91,Zlobin,HR,45.29,14.65,25.0,96,72,11.65,broken clouds
92,Longyearbyen,SJ,78.22,15.64,24.8,68,75,20.8,broken clouds
93,Amapa,BR,1.0,-52.0,70.79,98,98,1.79,overcast clouds
94,Beringovskiy,RU,63.05,179.32,19.4,96,100,29.57,light snow
95,Praia,CV,14.92,-23.51,71.6,78,75,12.75,broken clouds
96,Poum,NC,-20.23,164.02,79.59,76,100,10.63,light rain
97,Bac Lieu,VN,9.29,105.72,82.51,73,100,5.26,light rain
98,Ulaangom,MN,49.98,92.07,-0.87,91,100,2.55,overcast clouds
99,Torbay,CA,47.67,-52.73,48.2,93,90,28.86,overcast clouds
100,East London,ZA,-33.02,27.91,75.2,64,20,18.34,few clouds
101,Lebu,CL,-37.62,-73.65,58.44,93,70,14.43,broken clouds
102,Sola,VU,-13.88,167.55,78.8,100,75,5.7,broken clouds
103,Sioux Lookout,CA,50.1,-91.92,8.6,84,90,8.05,light snow
104,Zhigansk,RU,66.77,123.37,-20.27,87,100,4.97,overcast clouds
105,Suleja,NG,9.18,7.18,64.4,77,0,3.36,clear sky
106,Necochea,AR,-38.55,-58.74,60.01,91,0,11.68,clear sky
107,Aklavik,CA,68.22,-135.01,-0.4,84,100,4.7,overcast clouds
108,Vanimo,PG,-2.67,141.3,84.0,74,100,5.91,light rain
109,Sao Joao Da Barra,BR,-21.64,-41.05,74.17,88,100,13.04,overcast clouds
110,Nishihara,JP,26.18,127.76,75.2,64,75,14.99,broken clouds
111,Saint George,US,37.1,-113.58,35.6,29,1,4.12,clear sky
112,Alice Springs,AU,-23.7,133.88,95.0,23,40,8.05,scattered clouds
113,Luderitz,NA,-26.65,15.16,66.2,68,12,16.11,few clouds
114,Vaini,TO,-21.2,-175.2,80.6,94,75,9.17,broken clouds
115,Cherskiy,RU,68.75,161.3,-25.13,86,100,2.01,overcast clouds
116,Havelock,US,34.88,-76.9,34.0,74,1,5.82,clear sky
117,Ancud,CL,-41.87,-73.82,57.2,93,20,2.24,few clouds
118,Vila Franca Do Campo,PT,37.72,-25.43,55.4,62,75,6.93,broken clouds
119,Pastavy,BY,55.12,26.83,26.01,97,44,9.24,scattered clouds
120,Jibuti,DJ,11.5,42.5,80.6,57,1,17.38,clear sky
121,Tiksi,RU,71.69,128.87,7.36,94,100,12.28,light snow
122,Bogo,PH,11.05,124.01,81.84,79,100,9.42,light rain
123,Pevek,RU,69.7,170.31,-18.18,83,67,3.56,broken clouds
124,Chapais,CA,49.78,-74.85,-0.4,77,90,14.99,light snow
125,Baruun-Urt,MN,46.68,113.28,0.63,91,100,8.99,overcast clouds
126,Axim,GH,4.87,-2.24,79.07,86,32,2.57,scattered clouds
127,Hamilton,US,39.18,-84.53,28.0,73,40,6.93,scattered clouds
128,Thompson,CA,55.74,-97.86,-9.4,76,90,6.93,light snow
129,Geraldton,AU,-28.77,114.6,86.0,42,0,27.51,clear sky
130,Margate,GB,51.38,1.39,46.99,85,100,11.99,moderate rain
131,Velsk,RU,61.07,42.1,5.74,95,100,4.56,overcast clouds
132,Hilo,US,19.73,-155.09,75.2,69,90,10.29,light rain
133,Klyuchevskiy,RU,53.53,119.45,-14.91,79,93,0.16,overcast clouds
134,Saint-Philippe,RE,-21.36,55.77,87.01,70,0,8.05,clear sky
135,Bethel,US,41.37,-73.41,23.0,67,1,8.05,clear sky
136,Fortuna,US,40.6,-124.16,45.0,100,1,10.29,clear sky
137,Marolambo,MG,-20.05,48.12,72.7,92,100,6.26,moderate rain
138,Ribeira Grande,PT,38.52,-28.7,58.24,69,35,15.35,scattered clouds
139,La Ronge,CA,55.1,-105.28,14.0,78,100,12.75,overcast clouds
140,Adelaide,AU,-34.93,138.6,69.01,48,75,20.8,broken clouds
141,Dauphin,CA,51.15,-100.05,10.35,92,13,5.03,few clouds
142,Barrow,US,71.29,-156.79,-11.2,76,1,3.36,mist
143,Komsomolskiy,UZ,40.43,71.72,32.0,94,90,4.7,snow
144,Tuatapere,NZ,-46.13,167.68,59.0,63,0,8.99,clear sky
145,Soyo,AO,-6.13,12.37,78.8,88,75,5.41,broken clouds
